DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
1/1/2012,38,30,35,0.05,0.0,0,-9999,01,0
1/2/2012,50,33,34,0.03,0.0,0,-9999,02,2
1/3/2012,43,22,22,0.00,0.0,0,-9999,01,0
1/4/2012,29,6,6,0.00,0.0,0,-9999,01,0
1/5/2012,25,6,22,0.00,0.0,0,-9999,03,2
1/6/2012,35,21,25,0,0,0,-9999,71,7
1/7/2012,40,25,27,0,0.1,0,-9999,02,0
1/8/2012,50,27,34,0.00,0.0,0,-9999,02,1
1/9/2012,42,20,21,0.00,0.0,0,-9999,03,0
1/10/2012,35,21,27,0.00,0.0,0,-9999,02,1
1/11/2012,44,23,23,0.00,0.0,0,-9999,03,1
1/12/2012,36,23,33,0.13,1.5,2,-9999,71,7
1/13/2012,33,28,28,0.40,2.4,3,-9999,66,5
1/14/2012,41,25,26,0.01,0,3,-9999,03,1
1/15/2012,32,0,1,0,0,2,-9999,01,0
1/16/2012,12,1,4,0.00,0.0,2,-9999,01,0
1/17/2012,32,4,32,0.12,1.2,3,-9999,03,7
1/18/2012,44,32,34,0.07,0.0,2,-9999,01,1
1/19/2012,39,8,11,0.00,0.0,2,-9999,03,0
1/20/2012,28,11,21,0.10,2.6,4,-9999,01,7
1/21/2012,30,13,15,0,0,4,-9999,71,2
1/22/2012,19,-1,0,0.06,2.3,6,-9999,01,0
1/23/2012,29,0,26,0,0,5,-9999,71,2
1/24/2012,41,26,40,0.10,0,3,-9999,45,2
1/25/2012,53,32,35,0.00,0.0,2,-9999,03,2
1/26/2012,40,30,30,0.00,0.0,1,-9999,03,2
1/27/2012,40,30,35,0.88,0.5,1,-9999,61,6
1/28/2012,39,34,34,0,0.0,1,-9999,02,0
1/29/2012,45,31,32,0.00,0.0,0,-9999,01,0
1/30/2012,42,24,31,0,0,0,-9999,71,2
1/31/2012,38,22,26,0,0.1,0,-9999,03,7
