DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
3/1/2012,34,29,32,0.45,7.7,8,-9999,71,7
3/2/2012,32,18,18,0.50,6.6,12,-9999,03,2
3/3/2012,34,18,34,0.32,0.7,10,-9999,55,5
3/4/2012,43,27,34,0.02,0.0,8,-9999,03,2
3/5/2012,44,25,26,0,0,7,-9999,03,7
3/6/2012,38,13,19,0,0,6,-9999,01,0
3/7/2012,38,19,28,0.00,0.0,6,-9999,01,0
3/8/2012,58,28,47,0.00,0.0,3,-9999,02,1
3/9/2012,67,37,37,0.01,0.0,0,-9999,03,2
3/10/2012,47,27,30,0.06,2.0,2,-9999,85,7
3/11/2012,39,25,28,0,0,0,-9999,01,0
3/12/2012,57,28,33,0.00,0.0,0,-9999,01,0
3/13/2012,70,33,50,0.00,0.0,0,-9999,03,2
3/14/2012,72,43,43,0.30,0.0,0,-9999,51,5
3/15/2012,46,35,35,0,0.0,0,-9999,03,2
3/16/2012,45,34,37,0.00,0.0,0,-9999,03,2
3/17/2012,43,37,41,0.16,0.0,0,-9999,03,2
3/18/2012,52,35,37,0.00,0.0,0,-9999,01,0
3/19/2012,78,37,46,0.00,0.0,0,-9999,02,1
3/20/2012,79,39,39,0.00,0.0,0,-9999,01,0
3/21/2012,80,39,52,0.00,0.0,0,-9999,01,0
3/22/2012,82,39,53,0.00,0.0,0,-9999,01,0
3/23/2012,84,53,61,0.00,0.0,0,-9999,03,2
3/24/2012,72,46,47,0.00,0.0,0,-9999,03,1
3/25/2012,55,41,42,0.08,0.0,0,-9999,03,8
3/26/2012,45,36,43,0.03,0.0,0,-9999,51,5
3/27/2012,44,22,23,0,0.0,0,-9999,01,0
3/28/2012,46,23,31,0,0.2,0,-9999,03,7
3/29/2012,48,31,38,0.11,0,0,-9999,03,2
3/30/2012,44,28,30,0.00,0.0,0,-9999,01,0
3/31/2012,49,30,36,0,0,0,-9999,85,2
