DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
4/1/2012,48,24,25,0,0,0,-9999,01,0
4/2/2012,54,25,36,0.14,0.0,0,-9999,03,8
4/3/2012,53,29,33,0.00,0.0,0,-9999,01,0
4/4/2012,57,33,35,0.00,0.0,0,-9999,01,0
4/5/2012,62,34,35,0.00,0.0,0,-9999,01,0
4/6/2012,50,29,34,0.00,0.0,0,-9999,03,2
4/7/2012,51,31,39,0.00,0.0,0,-9999,01,0
4/8/2012,53,37,41,0.00,0.0,0,-9999,03,2
4/9/2012,50,33,43,0.00,0.0,0,-9999,03,2
4/10/2012,52,41,46,0.00,0.0,0,-9999,03,2
4/11/2012,59,37,37,0.00,0.0,0,-9999,03,1
4/12/2012,59,36,38,0.04,0.0,0,-9999,02,8
4/13/2012,54,32,33,0.14,0.0,0,-9999,01,0
4/14/2012,63,33,46,0.00,0.0,0,-9999,02,0
4/15/2012,71,46,54,0.00,0.0,0,-9999,01,0
4/16/2012,79,54,58,0.00,0.0,0,-9999,02,1
4/17/2012,90,58,66,0.00,0.0,0,-9999,01,0
4/18/2012,82,43,45,0.00,0.0,0,-9999,02,1
4/19/2012,61,36,42,0.00,0.0,0,-9999,02,0
4/20/2012,69,42,47,0.00,0.0,0,-9999,01,0
4/21/2012,79,47,58,0.00,0.0,0,-9999,02,1
4/22/2012,77,48,48,0.03,0.0,0,-9999,51,5
4/23/2012,51,37,39,2.10,0.0,0,-9999,63,6
4/24/2012,62,39,44,0.36,0.0,0,-9999,02,0
4/25/2012,56,36,40,0.00,0.0,0,-9999,01,0
4/26/2012,61,33,38,0.00,0.0,0,-9999,01,0
4/27/2012,66,38,47,0.16,0.0,0,-9999,02,8
4/28/2012,55,32,36,0.00,0.0,0,-9999,02,0
4/29/2012,56,34,39,0.00,0.0,0,-9999,01,0
4/30/2012,58,31,36,0.00,0.0,0,-9999,01,0
