DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
5/1/2012,62,36,41,0.20,0.0,0,-9999,51,5
5/2/2012,50,41,44,0.55,0.0,0,-9999,53,5
5/3/2012,51,44,45,0.07,0.0,0,-9999,80,8
5/4/2012,55,45,50,0.10,0.0,0,-9999,51,8
5/5/2012,55,47,48,0.10,0.0,0,-9999,03,8
5/6/2012,65,44,50,0.00,0.0,0,-9999,01,0
5/7/2012,62,42,45,0.00,0.0,0,-9999,01,0
5/8/2012,70,45,48,0.10,0.0,0,-9999,63,6
5/9/2012,58,46,58,0.49,0.0,0,-9999,10,4
5/10/2012,63,51,51,1.06,0.0,0,-9999,61,6
5/11/2012,64,41,47,0.09,0.0,0,-9999,01,0
5/12/2012,62,42,46,0.00,0.0,0,-9999,01,0
5/13/2012,77,46,49,0.00,0.0,0,-9999,02,1
5/14/2012,84,49,54,0.02,0.0,0,-9999,61,8
5/15/2012,67,54,57,0.14,0.0,0,-9999,03,2
5/16/2012,72,55,59,0.44,0.0,0,-9999,10,4
5/17/2012,71,47,52,0.19,0.0,0,-9999,02,9
5/18/2012,67,39,47,0.00,0.0,0,-9999,01,0
5/19/2012,72,45,49,0.00,0.0,0,-9999,01,0
5/20/2012,79,48,53,0.00,0.0,0,-9999,02,0
5/21/2012,84,48,51,0.00,0.0,0,-9999,02,0
5/22/2012,75,51,58,0.04,0.0,0,-9999,80,8
5/23/2012,64,56,60,0.41,0.0,0,-9999,51,5
5/24/2012,77,56,60,0,0.0,0,-9999,45,4
5/25/2012,77,57,57,0.00,0.0,0,-9999,10,4
5/26/2012,74,57,64,0.00,0.0,0,-9999,02,1
5/27/2012,85,54,63,0.00,0.0,0,-9999,01,0
5/28/2012,77,56,56,0.00,0.0,0,-9999,01,0
5/29/2012,77,56,58,0.00,0.0,0,-9999,10,4
5/30/2012,69,58,58,0.07,0.0,0,-9999,10,4
5/31/2012,75,58,61,0.00,0.0,0,-9999,03,1
