DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
9/1/2012,88,57,64,0,0,0,-9999,2,1
9/2/2012,77,55,61,0.08,0,0,-9999,3,8
9/3/2012,72,57,60,0,0,0,-9999,10,4
9/4/2012,77,59,60,0.04,0,0,-9999,80,8
9/5/2012,73,60,73,0.48,0,0,-9999,80,8
9/6/2012,79,65,65,0.04,0,0,-9999,3,2
9/7/2012,77,63,63,0,0,0,-9999,2,0
9/8/2012,85,63,71,0,0,0,-9999,3,2
9/9/2012,83,59,60,0.37,0,0,-9999,3,2
9/10/2012,69,52,54,0,0,0,-9999,3,2
9/11/2012,66,48,48,0,0,0,-9999,1,0
9/12/2012,71,45,45,0,0,0,-9999,1,0
9/13/2012,77,45,51,0,0,0,-9999,1,0
9/14/2012,82,51,55,0,0,0,-9999,1,0
9/15/2012,83,54,62,0.01,0,0,-9999,3,8
9/16/2012,72,45,45,0,0,0,-9999,1,0
9/17/2012,68,40,40,0,0,0,-9999,1,0
9/18/2012,75,40,53,0,0,0,-9999,3,1
9/19/2012,73,53,61,0.71,0,0,-9999,3,6
9/20/2012,69,41,41,0,0,0,-9999,1,0
9/21/2012,65,40,41,0,0,0,-9999,3,1
9/22/2012,63,41,53,0.02,0,0,-9999,51,8
9/23/2012,69,53,58,0.06,0,0,-9999,1,6
9/24/2012,69,41,41,0,0,0,-9999,1,0
9/25/2012,66,39,40,0.01,0,0,-9999,1,0
9/26/2012,71,40,57,0.01,0,0,-9999,80,8
9/27/2012,72,56,58,0,0,0,-9999,3,1
9/28/2012,66,42,45,0.01,0,0,-9999,51,5
9/29/2012,53,45,50,1.53,0,0,-9999,53,5
9/30/2012,56,50,52,0.03,0,0,-9999,61,5
