DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
12/1/2012,31,23,25,0.00,0.0,0,-9999,3,7
12/2/2012,31,25,31,0.05,0.4,0,-9999,3,4
12/3/2012,45,31,43,0.08,0.0,0,-9999,10,1
12/4/2012,56,28,35,0.00,0.0,0,-9999,3,2
12/5/2012,55,35,52,0.04,0.0,0,-9999,80,8
12/6/2012,55,27,27,0.00,0.0,0,-9999,1,0
12/7/2012,40,20,22,0.00,0.0,0,-9999,1,2
12/8/2012,42,22,37,0.20,0.0,0,-9999,61,6
12/9/2012,41,36,36,0.08,0.0,0,-9999,2,1
12/10/2012,44,34,43,0.41,0.0,0,-9999,61,6
12/11/2012,45,41,41,0.09,0.0,0,-9999,61,8
12/12/2012,45,26,26,0.01,0.0,0,-9999,2,0
12/13/2012,38,21,21,0.00,0.0,0,-9999,1,0
12/14/2012,42,21,25,0.00,0.0,0,-9999,1,0
12/15/2012,47,24,29,0.00,0.0,0,-9999,1,0
12/16/2012,39,22,22,0.00,0.0,0,-9999,3,2
12/17/2012,27,22,26,0.20,1.9,2,-9999,79,7
12/18/2012,36,25,36,0.36,0.0,1,-9999,63,6
12/19/2012,42,36,38,0.42,0.0,0,-9999,3,2
12/20/2012,44,27,27,0.00,0.0,0,-9999,1,0
12/21/2012,41,26,41,0.16,0.0,0,-9999,3,6
12/22/2012,53,30,31,0.70,0.0,0,-9999,3,2
12/23/2012,37,21,21,0.00,0.0,0,-9999,2,0
12/24/2012,38,21,27,0.00,0.0,0,-9999,1,0
12/25/2012,37,24,27,0.00,0.2,0,-9999,71,7
12/26/2012,32,16,16,0.00,0.0,0,-9999,1,0
12/27/2012,34,16,29,1.20,6.1,6,-9999,79,7
12/28/2012,34,24,25,0.20,2.9,7,-9999,2,2
12/29/2012,33,21,22,0.00,0.0,6,-9999,1,0
12/30/2012,29,21,24,0.65,6.0,11,-9999,3,2
12/31/2012,27,14,14,0.00,0.0,10,-9999,2,0
