DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
2/1/2012,38,26,29,T,T,T,-9999,45,4
2/2/2012,51,29,36,0.02,0.0,0,-9999,03,2
2/3/2012,41,22,22,0.00,0.0,0,-9999,01,0
2/4/2012,35,22,32,0.00,0.0,0,-9999,03,1
2/5/2012,38,14,18,T,T,0,-9999,01,0
2/6/2012,35,18,26,0.00,0.0,0,-9999,02,0
2/7/2012,51,26,35,0.00,0.0,0,-9999,03,2
2/8/2012,44,15,15,0.00,0.0,0,-9999,02,0
2/9/2012,37,15,31,0.00,0.0,0,-9999,02,1
2/10/2012,45,21,25,0.00,0.0,0,-9999,02,0
2/11/2012,50,24,34,0.00,0.0,0,-9999,03,2
2/12/2012,39,12,12,T,T,0,-9999,01,0
2/13/2012,25,9,15,T,T,0,-9999,85,1
2/14/2012,39,15,21,T,T,0,-9999,03,1
2/15/2012,42,21,32,T,0.0,0,-9999,51,5
2/16/2012,43,26,27,0.00,0.0,0,-9999,01,0
2/17/2012,46,26,38,0.12,0.0,0,-9999,10,2
2/18/2012,52,27,31,0.00,0.0,0,-9999,01,0
2/19/2012,46,28,31,T,T,T,-9999,01,0
2/20/2012,43,22,22,0.00,0.0,0,-9999,02,0
2/21/2012,40,19,19,0.00,0.0,0,-9999,02,0
2/22/2012,43,19,31,T,T,T,-9999,03,7
2/23/2012,56,31,39,T,0.0,0,-9999,03,8
2/24/2012,50,30,31,0.07,0.0,0,-9999,03,2
2/25/2012,39,31,35,0.98,T,0,-9999,02,1
2/26/2012,42,22,24,T,T,0,-9999,01,0
2/27/2012,38,17,26,0.00,0.0,0,-9999,03,0
2/28/2012,48,26,34,0.00,0.0,0,-9999,02,1
2/29/2012,43,28,29,0.00,0.0,0,-9999,03,1
