DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
7/1/2012,87,64,70,0.00,0.0,0,-9999,01,0
7/2/2012,90,67,67,0.00,0.0,0,-9999,02,0
7/3/2012,84,63,65,0.01,0.0,0,-9999,02,1
7/4/2012,83,63,66,0.28,0.0,0,-9999,10,6
7/5/2012,87,66,67,0.26,0.0,0,-9999,05,0
7/6/2012,81,61,65,0.00,0.0,0,-9999,02,0
7/7/2012,87,65,70,T,0.0,0,-9999,03,5
7/8/2012,80,61,63,T,0.0,0,-9999,02,0
7/9/2012,85,59,61,0.00,0.0,0,-9999,01,0
7/10/2012,83,51,54,0.00,0.0,0,-9999,02,0
7/11/2012,84,54,57,0.00,0.0,0,-9999,01,0
7/12/2012,86,57,63,0.00,0.0,0,-9999,02,0
7/13/2012,89,62,62,0.00,0.0,0,-9999,05,0
7/14/2012,89,62,70,0.60,0.0,0,-9999,03,2
7/15/2012,88,64,68,0.00,0.0,0,-9999,01,-1
7/16/2012,91,68,71,0.14,0.0,0,-9999,02,-1
7/17/2012,88,66,75,0.00,0.0,0,-9999,01,0
7/18/2012,91,71,74,0.01,0.0,0,-9999,02,1
7/19/2012,86,61,63,0.00,0.0,0,-9999,03,1
7/20/2012,82,58,63,0.00,0.0,0,-9999,03,1
7/21/2012,74,50,56,0.00,0.0,0,-9999,01,0
7/22/2012,81,56,60,0.00,0.0,0,-9999,01,0
7/23/2012,87,60,63,0.06,0.0,0,-9999,80,8
7/24/2012,86,63,71,T,0.0,0,-9999,01,0
7/25/2012,87,58,62,0.12,0.0,0,-9999,01,0
7/26/2012,80,61,61,0.00,0.0,0,-9999,03,2
7/27/2012,79,61,63,0.08,0.0,0,-9999,10,8
7/28/2012,72,63,65,0.06,0.0,0,-9999,10,2
7/29/2012,82,64,65,0.16,0.0,0,-9999,51,8
7/30/2012,71,56,56,0.02,0.0,0,-9999,01,0
7/31/2012,83,56,61,0.00,0.0,0,-9999,03,1
