DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
1/1/2016,44,31,32,0,0,3,-9999,3,2
1/2/2016,40,25,28,0,0,2,-9999,1,0
1/3/2016,39,28,29,0,0,2,-9999,3,1
1/4/2016,40,24,24,0,0,2,-9999,2,0
1/5/2016,24,4,4,T,T,2,-9999,1,0
1/6/2016,23,4,14,0,0,2,-9999,1,0
1/7/2016,43,12,18,0,0,2,-9999,1,0
1/8/2016,41,16,23,0,0,2,-9999,-1,1
1/9/2016,35,22,32,0.03,0.3,2,-9999,71,7
1/10/2016,36,32,36,0.07,T,2,-9999,53,5
1/11/2016,52,29,29,1.23,0,1,-9999,1,0
1/12/2016,33,16,16,0,0,1,-9999,2,0
1/13/2016,32,16,20,0.21,2.9,3,-9999,1,0
1/14/2016,28,13,18,0,0,3,-9999,3,1
1/15/2016,28,13,18,0,0,3,-9999,3,2
1/16/2016,33,18,33,0.16,0,2,-9999,61,4
1/17/2016,36,26,30,0.29,1.5,3,-9999,3,1
1/18/2016,33,23,23,0.13,3.2,6,-9999,71,7
1/19/2016,26,12,14,T,0.1,4,-9999,2,0
1/20/2016,23,13,17,0,0,3,-9999,1,1
1/21/2016,30,15,17,0,0,3,-9999,1,0
1/22/2016,29,15,15,0,0,3,-9999,1,0
1/23/2016,30,13,19,0,0,3,-9999,3,2
1/24/2016,22,14,15,0,0,2,-9999,-9999,-9999
1/25/2016,39,15,23,0,0,2,-9999,1,0
1/26/2016,40,15,24,0,0,2,-9999,3,1
1/27/2016,48,24,36,0,0,1,-9999,3,2
1/28/2016,45,18,18,0,0,1,-9999,1,0
1/29/2016,41,18,31,0,0,1,-9999,3,2
1/30/2016,39,28,31,T,T,1,-9999,1,0
1/31/2016,40,31,38,0,0,T,-9999,3,1
