DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
6/1/2015,72,46,46,1.04,0,0,-9999,63,6
6/2/2015,50,44,44,2.15,0,0,-9999,63,6
6/3/2015,49,43,48,0.22,0,0,-9999,3,2
6/4/2015,62,45,48,0,0,0,-9999,3,2
6/5/2015,64,45,46,0,0,0,-9999,1,0
6/6/2015,73,46,53,0,0,0,-9999,3,2
6/7/2015,73,42,46,0,0,0,-9999,1,0
6/8/2015,73,46,55,0,0,0,-9999,3,2
6/9/2015,75,53,65,0.03,0,0,-9999,3,2
6/10/2015,77,57,59,0.03,0,0,-9999,2,2
6/11/2015,81,59,64,0,0,0,-9999,3,2
6/12/2015,87,60,62,0,0,0,-9999,3,2
6/13/2015,83,62,65,0.03,0,0,-9999,2,8
6/14/2015,83,59,62,0,0,0,-9999,3,2
6/15/2015,78,56,57,0.04,0,0,-9999,61,6
6/16/2015,60,53,56,0.41,0,0,-9999,3,4
6/17/2015,70,55,58,0.02,0,0,-9999,1,0
6/18/2015,74,54,55,0,0,0,-9999,3,2
6/19/2015,77,55,62,0,0,0,-9999,3,2
6/20/2015,82,47,53,0,0,0,-9999,1,0
6/21/2015,76,53,60,1.03,0,0,-9999,65,6
6/22/2015,71,60,63,0.44,0,0,-9999,10,4
6/23/2015,83,60,62,0,0,0,-9999,3,2
6/24/2015,83,61,62,0.16,0,0,-9999,1,0
6/25/2015,81,55,59,0,0,0,-9999,2,0
6/26/2015,79,56,56,0.04,0,0,-9999,61,6
6/27/2015,74,48,52,0.05,0,0,-9999,3,2
6/28/2015,74,52,54,0.86,0,0,-9999,65,-1
6/29/2015,57,48,52,0.65,0,0,-9999,3,2
6/30/2015,71,52,61,0.02,0,0,-9999,1,0
