DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
3/1/2015,33,0,4,0,0,25,-9999,3,1
3/2/2015,31,4,21,0.12,1.8,27,-9999,3,7
3/3/2015,38,12,13,T,T,26,-9999,1,0
3/4/2015,33,12,33,0.15,1,26,-9999,3,7
3/5/2015,47,31,31,0,0,24,-9999,3,2
3/6/2015,33,1,1,0,0,24,-9999,1,0
3/7/2015,31,1,12,0,0,24,-9999,1,0
3/8/2015,40,12,15,0,0,24,-9999,2,0
3/9/2015,42,14,22,T,T,23,-9999,3,2
3/10/2015,48,22,25,0,0,22,-9999,2,1
3/11/2015,52,25,36,0,0,21,-9999,10,4
3/12/2015,58,32,32,0,0,17,-9999,2,0
3/13/2015,38,17,18,0,0,17,-9999,1,0
3/14/2015,42,18,29,0,0,16,-9999,3,2
3/15/2015,35,29,35,0.5,0,15,-9999,3,2
3/16/2015,39,22,22,0.27,3.3,18,-9999,1,0
3/17/2015,44,22,31,0.03,0,16,-9999,66,6
3/18/2015,48,19,19,T,T,15,-9999,1,0
3/19/2015,29,15,15,0,0,15,-9999,1,0
3/20/2015,32,15,15,0,0,14,-9999,3,0
3/21/2015,34,15,28,T,0.1,14,-9999,71,7
3/22/2015,43,20,21,0.06,0.9,14,-9999,1,0
3/23/2015,36,13,13,0,0,13,-9999,2,0
3/24/2015,31,12,12,T,T,13,-9999,1,0
3/25/2015,42,12,27,0,0,12,-9999,1,0
3/26/2015,51,25,38,0.04,T,11,-9999,3,2
3/27/2015,58,36,36,0.72,0,8,-9999,61,6
3/28/2015,43,32,33,T,T,8,-9999,71,7
3/29/2015,35,20,21,0.18,0.5,8,-9999,1,0
3/30/2015,42,21,29,0,0,7,-9999,3,1
3/31/2015,41,29,32,0,0,7,-9999,1,0
