DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
1/1/2015,28,10,13,0,0,0,-9999,1,0
1/2/2015,30,13,21,0,0,0,-9999,1,0
1/3/2015,39,14,14,0,0,0,-9999,3,1
1/4/2015,34,14,33,1.24,3.1,3,-9999,61,6
1/5/2015,42,32,37,0.1,0,2,-9999,3,2
1/6/2015,37,9,10,T,T,0,-9999,3,1
1/7/2015,17,6,10,T,0.2,2,-9999,2,0
1/8/2015,23,-8,-7,T,T,2,-9999,1,0
1/9/2015,21,-7,21,T,T,T,-9999,71,7
1/10/2015,27,7,8,0.11,1.5,3,-9999,1,0
1/11/2015,22,5,6,0,0,3,-9999,2,0
1/12/2015,29,6,29,T,0.1,3,-9999,71,7
1/13/2015,35,16,16,0.02,T,3,-9999,1,0
1/14/2015,21,0,4,0,0,3,-9999,3,2
1/15/2015,24,4,24,T,T,2,-9999,85,2
1/16/2015,30,15,15,0.05,0.7,3,-9999,1,0
1/17/2015,37,3,3,T,0.1,3,-9999,-1,-1
1/18/2015,23,3,23,0,0,3,-9999,3,2
1/19/2015,46,23,36,0.66,0,2,-9999,1,0
1/20/2015,43,28,28,0,0,1,-9999,1,0
1/21/2015,36,17,17,0,0,1,-9999,1,0
1/22/2015,32,17,25,0,0,1,-9999,3,2
1/23/2015,36,18,18,0,0,1,-9999,1,0
1/24/2015,35,18,18,T,T,T,-9999,71,2
1/25/2015,31,18,25,0.57,7.4,8,-9999,2,1
1/26/2015,37,2,2,T,T,6,-9999,3,2
1/27/2015,23,2,13,0.56,10,16,-9999,75,7
1/28/2015,18,10,12,0.43,13.1,23,-9999,3,7
1/29/2015,22,3,3,0,0,20,-9999,1,0
1/30/2015,36,2,28,0.04,0.5,18,-9999,3,7
1/31/2015,32,6,7,0.09,1.4,18,-9999,3,2
