DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
2/1/2015,18,0,1,0,0,17,-9999,1,0
2/2/2015,27,1,8,0.18,3,19,-9999,73,7
2/3/2015,11,1,1,0.51,7.5,24,-9999,1,0
2/4/2015,23,1,8,0,0,22,-9999,3,1
2/5/2015,33,8,33,0.27,3.3,24,-9999,73,7
2/6/2015,33,-2,-1,0.15,1.8,25,-9999,3,0
2/7/2015,21,-1,21,T,T,23,-9999,3,2
2/8/2015,28,17,17,0.19,2.3,24,-9999,71,7
2/9/2015,17,9,10,0.48,5.5,27,-9999,71,7
2/10/2015,16,10,16,0.4,5,30,-9999,3,7
2/11/2015,33,6,10,0,0,28,-9999,2,0
2/12/2015,27,3,12,T,T,27,-9999,3,1
2/13/2015,22,3,3,0.06,2.5,29,-9999,1,0
2/14/2015,17,-9,-7,0,0,27,-9999,3,1
2/15/2015,21,-7,19,0.54,8.3,32,-9999,71,7
2/16/2015,19,-7,-2,T,T,30,-9999,1,0
2/17/2015,19,-2,6,0,0,29,-9999,3,2
2/18/2015,25,5,7,0,0,28,-9999,1,0
2/19/2015,31,6,17,0.09,2.3,29,-9999,3,7
2/20/2015,31,3,4,0.03,1,28,-9999,2,0
2/21/2015,19,-8,-7,0,0,27,-9999,2,0
2/22/2015,30,-7,30,0.31,4.1,30,-9999,85,7
2/23/2015,41,24,24,T,T,28,-9999,3,2
2/24/2015,25,-15,-14,0,0,27,-9999,1,0
2/25/2015,18,-14,14,T,T,27,-9999,3,7
2/26/2015,38,12,16,0,0,26,-9999,3,2
2/27/2015,25,8,16,0,0,26,-9999,1,0
2/28/2015,29,1,7,0,0,26,-9999,1,0
